amount_tsh,gps_height,longitude,latitude,basin,population,public_meeting,scheme_management,permit,construction_year,extraction_type,extraction_type_class,management_group,payment_type,water_quality,quality_group,quantity,source,source_class,waterpoint_type
0.0,1157,36.90151927,-3.39256041,Pangani,500,True,WUA,False,2011,gravity,gravity,user-group,unknown,soft,good,insufficient,rainwater harvesting,surface,communal standpipe
0.0,0,33.68356249,-9.53409126,Lake Nyasa,0,True,VWC,False,0,gravity,gravity,user-group,unknown,soft,good,insufficient,spring,groundwater,communal standpipe
0.0,1314,30.92387102,-3.31426218,Lake Tanganyika,140,True,VWC,False,1993,gravity,gravity,user-group,unknown,soft,good,insufficient,spring,groundwater,communal standpipe multiple
0.0,1594,35.51125683,-4.41938564,Internal,257,True,VWC,True,2005,gravity,gravity,user-group,never pay,soft,good,dry,spring,groundwater,communal standpipe
100.0,469,37.75686378,-6.90759484,Wami / Ruvu,64,True,VWC,True,2004,gravity,gravity,user-group,monthly,soft,good,enough,river,surface,communal standpipe
0.0,1393,34.32707903,-2.95670096,Lake Victoria,400,True,WUG,False,2008,nira/tanira,handpump,user-group,never pay,soft,good,enough,shallow well,groundwater,hand pump
0.0,-33,39.40893878,-8.74516851,Ruvuma / Southern Coast,340,True,,True,2006,india mark ii,handpump,user-group,never pay,soft,good,enough,machine dbh,groundwater,hand pump
4000.0,516,38.05290951,-4.36456834,Pangani,230,True,Water authority,True,1999,gravity,gravity,user-group,annually,soft,good,enough,river,surface,communal standpipe
0.0,-38,40.11984578,-10.27950369,Ruvuma / Southern Coast,150,True,VWC,False,1976,nira/tanira,handpump,user-group,never pay,soft,good,enough,shallow well,groundwater,hand pump
0.0,1227,30.46890603,-3.62382547,Lake Tanganyika,210,True,VWC,False,1990,india mark ii,handpump,user-group,unknown,soft,good,enough,machine dbh,groundwater,hand pump
0.0,0,33.78250527,-9.58782438,Lake Nyasa,0,True,Water authority,True,0,gravity,gravity,commercial,monthly,soft,good,insufficient,spring,groundwater,communal standpipe
0.0,1569,34.851642,-4.76106719,Internal,30,True,VWC,,2000,other,other,user-group,never pay,soft,good,insufficient,rainwater harvesting,surface,communal standpipe
0.0,85,39.09568416,-6.99261144,Wami / Ruvu,250,,WUG,,2000,other,other,user-group,never pay,soft,good,enough,shallow well,groundwater,other
0.0,1974,34.22118246,-9.36426416,Lake Nyasa,0,True,VWC,False,2000,gravity,gravity,user-group,never pay,soft,good,insufficient,spring,groundwater,communal standpipe
0.0,896,35.20027377,-6.36898685,Internal,280,True,VWC,False,1972,mono,motorpump,user-group,never pay,soft,good,enough,machine dbh,groundwater,communal standpipe
0.0,0,0.0,-2e-08,Lake Victoria,0,True,VWC,True,0,afridev,handpump,user-group,never pay,soft,good,enough,machine dbh,groundwater,hand pump
0.0,0,33.59378926,-8.95387207,Rufiji,0,True,VWC,True,0,gravity,gravity,user-group,on failure,soft,good,insufficient,river,surface,communal standpipe
20000.0,1531,36.69076626,-3.33381902,Pangani,300,True,VWC,True,1995,gravity,gravity,user-group,monthly,soft,good,enough,spring,groundwater,communal standpipe multiple
1000.0,566,37.23895951,-11.00444314,Ruvuma / Southern Coast,1,True,VWC,False,1998,gravity,gravity,user-group,annually,soft,good,insufficient,river,surface,communal standpipe
0.0,0,33.85151468,-8.829135,Rufiji,0,True,WUA,True,0,gravity,gravity,user-group,monthly,soft,good,insufficient,river,surface,communal standpipe
500.0,881,35.94789611,-10.52943954,Rufiji,250,True,WUG,False,1999,swn 80,handpump,user-group,monthly,soft,good,insufficient,shallow well,groundwater,hand pump
0.0,0,32.524982300000005,-4.99745583,Lake Tanganyika,0,True,VWC,True,0,afridev,handpump,user-group,never pay,soft,good,enough,shallow well,groundwater,hand pump
0.0,0,33.03003097,-4.21323443,Internal,0,True,VWC,False,0,nira/tanira,handpump,user-group,on failure,soft,good,seasonal,shallow well,groundwater,hand pump
0.0,0,32.74051517,-2.75138599,Lake Victoria,0,True,VWC,True,0,swn 80,handpump,user-group,never pay,salty,salty,insufficient,machine dbh,groundwater,hand pump
0.0,0,35.30784937,-6.31323826,Internal,0,True,VWC,True,0,windmill,wind-powered,user-group,never pay,soft,good,enough,dam,surface,communal standpipe
50.0,-6,38.8630598,-6.52174944,Wami / Ruvu,12,False,Company,True,2010,mono,motorpump,commercial,per bucket,soft,good,enough,river,surface,communal standpipe
30.0,925,36.84355637,-3.65951952,Pangani,300,True,VWC,True,1980,submersible,submersible,user-group,per bucket,soft,good,dry,machine dbh,groundwater,communal standpipe multiple
2000.0,1115,35.04924472,-7.96371655,Rufiji,1,True,VWC,True,1989,gravity,gravity,user-group,annually,soft,good,enough,spring,groundwater,communal standpipe
0.0,0,30.92237237,-1.41476035,Lake Victoria,0,True,VWC,True,0,gravity,gravity,user-group,never pay,soft,good,enough,spring,groundwater,communal standpipe
0.0,0,32.9989805,-4.23457112,Lake Tanganyika,0,False,VWC,False,0,other,other,user-group,never pay,soft,good,enough,shallow well,groundwater,other
0.0,1817,35.33371111,-4.27451095,Internal,720,True,VWC,True,1988,gravity,gravity,user-group,never pay,soft,good,enough,river,surface,communal standpipe
0.0,0,32.45452958,-4.93358495,Lake Tanganyika,0,True,VWC,False,0,afridev,handpump,user-group,never pay,soft,good,dry,shallow well,groundwater,hand pump
2400.0,255,36.95668155,-7.69881003,Rufiji,815,True,Company,True,1995,gravity,gravity,user-group,monthly,soft,good,enough,river,surface,communal standpipe
0.0,1415,30.79129764,-3.30397941,Lake Tanganyika,450,True,VWC,False,2005,gravity,gravity,user-group,unknown,soft,good,insufficient,rainwater harvesting,surface,communal standpipe
0.0,0,31.51418625,-1.60470928,Lake Victoria,0,True,VWC,True,0,gravity,gravity,user-group,never pay,soft,good,enough,spring,groundwater,communal standpipe
500.0,1075,35.80592135,-10.45961349,Lake Nyasa,90,True,VWC,True,1985,gravity,gravity,user-group,annually,soft,good,insufficient,river,surface,communal standpipe
50.0,939,37.63867114,-3.9801604,Pangani,180,True,Water authority,True,2007,submersible,submersible,user-group,per bucket,salty,salty,insufficient,machine dbh,groundwater,communal standpipe
0.0,1717,35.19172724,-4.1790654,Internal,1,True,VWC,True,1998,swn 80,handpump,user-group,never pay,soft,good,enough,machine dbh,groundwater,hand pump
2000.0,1830,31.41897721,-7.7751322,Lake Rukwa,280,True,VWC,False,2003,swn 80,handpump,user-group,annually,salty,salty,enough,machine dbh,groundwater,hand pump
0.0,308,36.66725016,-8.02572927,Rufiji,1750,True,,True,2005,other,other,user-group,never pay,soft,good,insufficient,shallow well,groundwater,hand pump
0.0,0,35.74582293,-4.4623363,Internal,0,True,Private operator,False,0,mono,motorpump,commercial,per bucket,soft,good,enough,machine dbh,groundwater,communal standpipe
0.0,0,32.10955752,-3.61241346,Lake Tanganyika,0,True,VWC,True,0,other,other,user-group,unknown,soft,good,insufficient,shallow well,groundwater,other
500.0,1719,34.68271326,-9.11235436,Rufiji,56,True,WUA,True,1978,gravity,gravity,user-group,monthly,soft,good,enough,river,surface,communal standpipe
20.0,357,38.24138658,-6.07886118,Wami / Ruvu,120,True,WUA,True,2003,ksb,submersible,user-group,per bucket,soft,good,enough,river,surface,communal standpipe
0.0,0,33.34955546,-3.68445317,Internal,0,True,WUG,False,0,nira/tanira,handpump,user-group,per bucket,soft,good,enough,shallow well,groundwater,hand pump
0.0,426,37.24228786,-11.52131166,Ruvuma / Southern Coast,1,True,VWC,False,1994,swn 80,handpump,user-group,never pay,soft,good,insufficient,machine dbh,groundwater,hand pump
0.0,1241,30.59586477,-3.95794331,Lake Tanganyika,140,True,VWC,False,2009,gravity,gravity,user-group,unknown,soft,good,insufficient,spring,groundwater,communal standpipe
0.0,0,33.35974551,-8.87373929,Lake Rukwa,0,True,VWC,True,0,gravity,gravity,user-group,on failure,soft,good,insufficient,river,surface,communal standpipe
0.0,1359,30.0624067,-4.31547568,Lake Tanganyika,350,True,Water authority,True,1994,afridev,handpump,commercial,never pay,soft,good,enough,machine dbh,groundwater,hand pump
1000.0,1051,36.94397351,-3.40197564,Pangani,120,True,Water Board,True,2009,gravity,gravity,user-group,monthly,soft,good,insufficient,river,surface,communal standpipe
50.0,1447,34.42881257,-4.48631907,Internal,214,True,WUA,True,2010,mono,motorpump,user-group,per bucket,soft,good,insufficient,machine dbh,groundwater,communal standpipe multiple
0.0,1729,36.74437002,-3.32035289,Pangani,200,True,VWC,True,2007,gravity,gravity,user-group,never pay,soft,good,enough,spring,groundwater,communal standpipe
0.0,841,39.04725054,-10.58100665,Ruvuma / Southern Coast,1,,,False,1978,gravity,gravity,unknown,unknown,unknown,unknown,unknown,spring,groundwater,communal standpipe multiple
0.0,0,0.0,-2e-08,Lake Victoria,0,True,WUG,False,0,swn 80,handpump,user-group,never pay,salty,salty,enough,shallow well,groundwater,hand pump
0.0,1303,34.58259148,-1.62735193,Lake Victoria,400,,Other,True,2010,gravity,gravity,other,unknown,soft,good,seasonal,rainwater harvesting,surface,communal standpipe
0.0,0,33.38407036,-2.78152427,Lake Victoria,0,True,VWC,True,0,nira/tanira,handpump,user-group,never pay,soft,good,enough,shallow well,groundwater,hand pump
0.0,0,33.44611656,-3.58329948,Internal,0,False,WUG,False,0,nira/tanira,handpump,user-group,never pay,soft,good,enough,shallow well,groundwater,hand pump
